TIME_s,VELOCITY_ms,ACCELERATION_mss,ALTITUDE_m
0,-1.76952632041341,0.0100069268777614,5.00460611177439
0.01,0.658751264804715,111.072130512325,-3.61619722091479
0.02,3.32764251009267,211.807147654034,-2.51179279279014
0.03,3.1156285415732,230.588468063998,-3.63255511717376
0.04,11.0381486889842,249.471773772997,5.52086538375875
0.05,11.6920243726522,268.196234740049,2.1613061517971
0.06,11.5226674359114,287.049620078489,5.73176571933028
0.07,17.1910673421519,292.806111748105,5.95351688046904
0.08,18.9048879161222,295.118644047687,-5.51824999384099
0.09,22.4467201328559,297.633603262055,-1.60753543241089
0.1,23.7169073319793,300.116129175578,-1.8284943821384
0.11,28.4929628688983,302.329191907758,5.60490834258591
0.12,31.3010083509836,304.38000846315,-0.0809290503055766
0.13,33.7784310632883,306.576495557452,11.4896690364304
0.14,36.3978432522956,308.636715068521,-2.05603334461855
0.15,38.0072797116677,310.469012868573,16.1553014769012
0.16,41.8294280887032,312.314317794419,5.96081092330418
0.17,45.4060920952914,314.088820066475,5.46002126287908
0.18,52.0049812005152,315.674247771261,-5.79371453943621
0.19,54.6797303812559,317.318832174109,18.778839248135
0.2,57.1533582159594,318.679646625829,2.78901296990766
0.21,57.1476665938684,320.122801523243,14.0974376794706
0.22,62.0874131397822,321.270383004131,7.73198556734109
0.23,67.5303782013557,322.512534081093,13.3419965545453
0.24,68.1828222865391,323.618429430524,8.36206179832283
0.25,74.9524724747706,323.154467864461,3.54043253514121
0.26,76.144001650667,322.239802715218,7.02963444430086
0.27,76.960423259362,321.388843210371,16.1462130196173
0.28,81.4485043461808,320.294160040302,18.8722607325848
0.29,82.8675059723043,319.20159225985,14.9252844284147
0.3,91.0401826319187,318.064487067815,15.8856197265009
0.31,94.1874285886302,316.63731185992,6.78890229641651
0.32,92.9101734300131,315.25739314702,25.0324192811947
0.33,99.8866381808786,313.836057741953,16.4635861594467
0.34,99.2373944266542,312.282433587662,13.2333929370236
0.35,106.311510018568,310.577526131652,24.862594055562
0.36,107.623307326587,308.818045236053,37.3887979554906
0.37,111.922183147398,306.94764007615,17.2809301404322
0.38,112.566370680085,305.011240466983,18.1925913615797
0.39,112.673676418895,303.024633044461,24.7476569808698
0.4,120.909311183006,300.96489708409,28.1694896590397
0.41,122.815590442484,298.924525592335,32.2658655849115
0.42,126.121106197843,296.60734632755,16.9079064193112
0.43,129.326508471577,294.312389008279,33.6123808522605
0.44,129.483570144495,292.037695472129,29.7899271331427
0.45,134.347289677443,289.575475640514,27.4765278787808
0.46,138.492162092746,286.960515752631,30.8620692275723
0.47,139.348240572172,284.623927879358,35.5665046486339
0.48,137.893812728168,281.847781331658,34.9747059116573
0.49,148.020550896293,279.242620669002,31.6119113185893
0.5,148.526136265619,276.596307182012,13.3916969744026
0.51,150.182556609365,273.799728860943,41.7004157339264
0.52,153.165407199103,270.94116995299,44.9170717651765
0.53,157.376493369193,267.857710880065,42.7293336497543
0.54,157.347412150372,264.62269062328,37.232759547035
0.55,163.641706500892,261.125016588128,49.6595576530586
0.56,167.555326554499,257.759725376157,45.1035270928477
0.57,168.31765391298,254.188444376594,48.3532895962909
0.58,172.946622947383,250.791856965659,45.9146042735378
0.59,173.670726796188,247.278537989218,55.6260418982693
0.6,172.172813051596,243.611894085449,59.8906858344862
0.61,174.540888547204,240.231156298816,55.7771972801937
0.62,181.181720259094,236.67403408367,51.5129171827358
0.63,181.648320603191,233.101228281036,60.2325577500661
0.64,187.062783814403,229.619509563782,58.0788353398994
0.65,186.114106772901,225.91394759974,65.3415905971628
0.66,190.880874215159,222.409975358923,66.1838564907299
0.67,192.091357454378,218.918340210262,64.6682580899178
0.68,190.668191762242,215.288567589805,65.0905925174776
0.69,191.324533509993,211.708299736615,73.9842522915298
0.7,197.072240275642,208.244592566139,74.6048197451555
0.71,201.529888929504,204.582032519737,71.4571191088518
0.72,198.042177460536,201.090150996915,79.6413829144936
0.73,202.162393596684,197.645771404145,79.3769381734553
0.74,204.019509199241,193.988208796151,67.5294849068753
0.75,209.847051171264,190.725043379112,81.7086034999823
0.76,210.337153959507,187.081020824845,71.9758329103823
0.77,213.196002902719,183.632032380982,91.6854665427888
0.78,211.599542840248,180.232107941851,86.6910006377153
0.79,217.809914769335,176.875484754193,88.3668952891712
0.8,214.416419366606,173.555693653924,97.5318750807173
0.81,217.889469716984,170.228982939045,99.1334326090496
0.82,218.762027864923,167.024943909564,97.439589893547
0.83,219.662316077462,163.566787020793,96.6797843221236
0.84,224.939672741386,160.402152956165,90.7260065342473
0.85,224.036785950432,157.312686503368,99.8696420001571
0.86,228.061020333706,153.982805849273,111.309016962677
0.87,229.414167077483,150.924349643622,104.892962337602
0.88,227.003913954219,147.892676265911,112.93569858748
0.89,227.145280117226,144.721102046471,113.665796123113
0.9,229.659180864479,141.708168653034,119.585927637487
0.91,232.105366089463,138.46523718045,112.990377665595
0.92,233.712758348885,135.115329627317,123.005065095453
0.93,235.324703658431,131.943835174062,124.246135804388
0.94,233.270111155209,128.701784165591,131.891099845017
0.95,237.526538873595,125.561121335924,131.707088065708
0.96,239.623212144389,122.54391482867,115.453389967699
0.97,242.361536194895,119.517874697583,124.39286388409
0.98,243.261408323693,116.39855950603,135.246411369602
0.99,244.390632548408,113.513126933105,140.62842858698
1,244.600072472043,110.578073983346,135.098372864352
1.01,244.242192888565,107.668748562654,131.991766619074
1.02,244.10836952435,105.020744587113,148.375207968787
1.03,247.562795285026,102.22267431692,153.270394390148
1.04,248.279477106459,99.506340663697,148.019715268383
